HERD;CONSERVATION_SCORE;CONSERVATION;SPOILAGE;SCRAPING_SCORE;SCRAPING;HOR_VERT_DRUM;SIZE;AUGER_SCORE;AUGER;KNIVES_SCORE;KNIVES;HAY_PROCESSING;POSITION;MIXING_START;MIXING_AFTER_LAST_MIN;MIXING_AFTER_LAST;LIQUID;FILLING;RPM;RPM_2;MOVEMENT_SCORE;MOVEMENT;EMPTY
Herd 1;4;Good conservation;No spoilage;2;Not scraped;Vertical;14;5;Auger new;5;Knive sharp;Hay;Good position;Begin mix;5;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 2;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;15;4;Auger new;4;Knive sharp;No hay;Bad position;Begin mix;8;Mix after last (5-9 min);No liquid;Overfilled;Very fast (>30);Fast (>20 rpm);4;Movement;Remnant mixer
Herd 3;4;Good conservation;Yes spoilage;3;Not scraped;Vertical;10;4;Auger new;4;Knive sharp;No hay;Bad position;Begin mix;2;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);3;Little movement;Empty mixer
Herd 4;4;Good conservation;No spoilage;4;Scraped vertically;Horizontal;14;4;Auger new;4;Knive sharp;Hay;Good position;Begin mix;4;Mix after last (<5 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 5;5;Good conservation;No spoilage;2;Not scraped;Vertical;14;5;Auger new;5;Knive sharp;No hay;Good position;Begin mix;10;Mix after last (>9 min);No liquid;Underfilled;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 7;4;Good conservation;Yes spoilage;3;Not scraped;Vertical;20;5;Auger new;5;Knive sharp;No hay;Good position;Begin mix;15;Mix after last (>9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 8;4;Good conservation;No spoilage;5;Scraped vertically;Horizontal;12;4;Auger new;4;Knive sharp;Hay;Good position;Begin mix;4;Mix after last (<5 min);Liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 9;3;Bad conservation;Yes spoilage;5;Scraped vertically;Vertical;20;4;Auger new;3;Knive worn;Hay;Bad position;Begin mix;0;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);5;Movement;Empty mixer
Herd 10;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;10;NA;NA;NA;NA;No hay;Good position;Begin mix;5;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;NA
Herd 11;NA;NA;NA;NA;NA;Vertical;26;2;Auger worn;1;Knive worn;Hay;Good position;Begin mix;7;Mix after last (5-9 min);Liquid;Full;Fast (20-30);Fast (>20 rpm);3;Little movement;Remnant mixer
Herd 12;4;Good conservation;Yes spoilage;2;Not scraped;Vertical;17;4;Auger new;5;Knive sharp;Hay;Good position;Begin mix;7;Mix after last (5-9 min);No liquid;Overfilled;Fast (20-30);Fast (>20 rpm);2;Little movement;Remnant mixer
Herd 13;4;Good conservation;Yes spoilage;3;Not scraped;Vertical;25;4;Auger new;3;Knive worn;No hay;Bad position;Begin mix;5;Mix after last (5-9 min);Liquid;Full;Slow (10-19);Slow (<20 rpm);3;Little movement;Remnant mixer
Herd 14;4;Good conservation;Yes spoilage;2;Not scraped;Vertical;18;3;Auger worn;4;Knive sharp;Hay;Bad position;Begin mix;6;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 15;5;Good conservation;No spoilage;4;Scraped vertically;Vertical;16;5;Auger new;1;Knive worn;Hay;Good position;End mix;6;Mix after last (5-9 min);No liquid;Overfilled;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 17;4;Good conservation;Yes spoilage;3;Not scraped;Vertical;12;3;Auger worn;3;Knive worn;No hay;Good position;Halfway mix;9;Mix after last (5-9 min);No liquid;Underfilled;Fast (20-30);Fast (>20 rpm);4;Movement;Remnant mixer
Herd 19;2;Bad conservation;Yes spoilage;4;Scraped vertically;Vertical;15;5;Auger new;5;Knive sharp;No hay;Good position;End mix;2;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 20;4;Good conservation;No spoilage;4;Scraped vertically;Horizontal;14;NA;NA;4;Knive sharp;No hay;Good position;Begin mix;7;Mix after last (5-9 min);No liquid;Overfilled;NA;NA;5;Movement;Remnant mixer
Herd 21;4;Good conservation;No spoilage;3;Not scraped;Horizontal;NA;NA;NA;NA;NA;No hay;Good position;End mix;2;Mix after last (<5 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);3;Little movement;Remnant mixer
Herd 22;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;16;4;Auger new;3;Knive worn;No hay;Good position;Begin mix;13;Mix after last (>9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 23;3;Bad conservation;Yes spoilage;4;Scraped vertically;Vertical;12;3;Auger worn;3;Knive worn;No hay;Good position;End mix;15;Mix after last (>9 min);No liquid;Full;Very fast (>30);Fast (>20 rpm);3;Little movement;Remnant mixer
Herd 24;4;Good conservation;Yes spoilage;2;Not scraped;Vertical;12;2;Auger worn;2;Knive worn;No hay;Good position;Begin mix;10;Mix after last (>9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 25;3;Bad conservation;Yes spoilage;3;Not scraped;Horizontal;10;5;Auger new;4;Knive sharp;Hay;Good position;Begin mix;4;Mix after last (<5 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;NA
Herd 26;4;Good conservation;No spoilage;3;Not scraped;Vertical;21;3;Auger worn;3;Knive worn;Hay;Bad position;Begin mix;NA;NA;No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 27;5;Good conservation;No spoilage;5;Scraped vertically;Vertical;22;5;Auger new;5;Knive sharp;Hay;Bad position;Begin mix;2;Mix after last (<5 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;NA
Herd 28;4;Good conservation;No spoilage;3;Not scraped;Vertical;NA;4;Auger new;4;Knive sharp;Hay;Bad position;Begin mix;10;Mix after last (>9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);3;Little movement;Remnant mixer
Herd 29;3;Bad conservation;Yes spoilage;2;Not scraped;Horizontal;16;NA;NA;NA;NA;No hay;Bad position;Halfway mix;7;Mix after last (5-9 min);No liquid;Full;Very slow (<10);Slow (<20 rpm);4;Movement;Empty mixer
Herd 31;4;Good conservation;No spoilage;5;Scraped vertically;Horizontal;12;3;Auger worn;3;Knive worn;Hay;Good position;Begin mix;0;Mix after last (<5 min);No liquid;Full;Very slow (<10);Slow (<20 rpm);4;Movement;Remnant mixer
Herd 33;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;30;4;Auger new;3;Knive worn;No hay;Bad position;Halfway mix;4;Mix after last (<5 min);Liquid;Full;Slow (10-19);Slow (<20 rpm);2;Little movement;Remnant mixer
Herd 34;4;Good conservation;No spoilage;5;Scraped vertically;Horizontal;16;3;Auger worn;NA;NA;No hay;Good position;Begin mix;18;Mix after last (>9 min);No liquid;Overfilled;Slow (10-19);Slow (<20 rpm);2;Little movement;Remnant mixer
Herd 35;3;Bad conservation;Yes spoilage;3;Not scraped;Vertical;8;4;Auger new;3;Knive worn;No hay;Good position;Begin mix;4;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Remnant mixer
Herd 36;4;Good conservation;No spoilage;3;Not scraped;Vertical;19;2;Auger worn;1;Knive worn;No hay;Bad position;Halfway mix;1;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 37;5;Good conservation;No spoilage;2;Not scraped;Vertical;24;2;Auger worn;1;Knive worn;Hay;Good position;Halfway mix;7;Mix after last (5-9 min);Liquid;Overfilled;Very fast (>30);Fast (>20 rpm);3;Little movement;Remnant mixer
Herd 38;4;Good conservation;Yes spoilage;3;Not scraped;Vertical;22;2;Auger worn;2;Knive worn;No hay;Bad position;Begin mix;1;Mix after last (<5 min);No liquid;Overfilled;Slow (10-19);Slow (<20 rpm);2;Little movement;Remnant mixer
Herd 39;3;Bad conservation;Yes spoilage;1;Not scraped;Vertical;24;4;Auger new;4;Knive sharp;Hay;Good position;Begin mix;8;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);5;Movement;Empty mixer
Herd 40;4;Good conservation;No spoilage;3;Not scraped;Vertical;20;2;Auger worn;5;Knive sharp;Hay;Good position;Begin mix;3;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Remnant mixer
Herd 41;5;Good conservation;Yes spoilage;4;Scraped vertically;Vertical;12;4;Auger new;3;Knive worn;No hay;Bad position;End mix;5;Mix after last (5-9 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 42;4;Good conservation;No spoilage;4;Scraped vertically;Horizontal;14;4;Auger new;3;Knive worn;Hay;Good position;Halfway mix;4;Mix after last (<5 min);No liquid;Full;Very slow (<10);Slow (<20 rpm);4;Movement;Remnant mixer
Herd 43;NA;NA;NA;NA;NA;Vertical;30;3;Auger worn;3;Knive worn;Hay;Bad position;Halfway mix;17;Mix after last (>9 min);No liquid;Full;Very slow (<10);Slow (<20 rpm);4;Movement;Remnant mixer
Herd 44;4;Good conservation;No spoilage;5;Scraped vertically;Vertical;20;5;Auger new;5;Knive sharp;Hay;Bad position;Halfway mix;7;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 45;5;Good conservation;No spoilage;5;Scraped vertically;Vertical;12;3;Auger worn;2;Knive worn;No hay;Bad position;Begin mix;7;Mix after last (5-9 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);3;Little movement;NA
Herd 46;3;Bad conservation;Yes spoilage;5;Scraped vertically;Vertical;24;5;Auger new;4;Knive sharp;Hay;Bad position;Begin mix;5;Mix after last (5-9 min);Liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Remnant mixer
Herd 47;3;Bad conservation;Yes spoilage;5;Scraped vertically;Vertical;24;5;Auger new;4;Knive sharp;Hay;Bad position;Begin mix;5;Mix after last (5-9 min);Liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Remnant mixer
Herd 48;5;Good conservation;No spoilage;5;Scraped vertically;Vertical;16;5;Auger new;5;Knive sharp;No hay;Good position;Begin mix;5;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);5;Movement;Empty mixer
Herd 49;4;Good conservation;Yes spoilage;2;Not scraped;Vertical;10;2;Auger worn;3;Knive worn;No hay;Good position;Begin mix;3;Mix after last (<5 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 50;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;12;5;Auger new;4;Knive sharp;No hay;Good position;Begin mix;4;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);3;Little movement;Empty mixer
Herd 51;4;Good conservation;Yes spoilage;2;Not scraped;Horizontal;16;NA;NA;NA;NA;No hay;Bad position;Halfway mix;8;Mix after last (5-9 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 52;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;16;4;Auger new;3;Knive worn;No hay;Bad position;End mix;3;Mix after last (<5 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);3;Little movement;Empty mixer
Herd 53;4;Good conservation;No spoilage;3;Not scraped;Vertical;16;4;Auger new;1;Knive worn;Hay;Good position;Begin mix;5;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 54;5;Good conservation;No spoilage;5;Scraped vertically;Vertical;14;3;Auger worn;2;Knive worn;No hay;Good position;Halfway mix;6;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 55;4;Good conservation;Yes spoilage;3;Not scraped;Vertical;20;4;Auger new;3;Knive worn;Hay;Bad position;Begin mix;9;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 56;4;Good conservation;No spoilage;3;Not scraped;Vertical;20;4;Auger new;4;Knive sharp;No hay;Good position;Begin mix;12;Mix after last (>9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 57;4;Good conservation;Yes spoilage;2;Not scraped;Horizontal;15;2;Auger worn;NA;NA;No hay;Bad position;End mix;10;Mix after last (>9 min);No liquid;Overfilled;Fast (20-30);Fast (>20 rpm);3;Little movement;Empty mixer
Herd 58;2;Bad conservation;Yes spoilage;5;Scraped vertically;Vertical;24;4;Auger new;3;Knive worn;Hay;Bad position;Begin mix;1;Mix after last (<5 min);Liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 59;1;Bad conservation;Yes spoilage;3;Not scraped;Vertical;20;4;Auger new;4;Knive sharp;No hay;Good position;Halfway mix;5;Mix after last (5-9 min);No liquid;Overfilled;Fast (20-30);Fast (>20 rpm);3;Little movement;Empty mixer
Herd 60;3;Bad conservation;Yes spoilage;4;Scraped vertically;Vertical;10;4;Auger new;5;Knive sharp;Hay;Good position;Begin mix;2;Mix after last (<5 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 61;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;15;4;Auger new;4;Knive sharp;Hay;Good position;Halfway mix;2;Mix after last (<5 min);No liquid;Overfilled;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 62;4;Good conservation;No spoilage;5;Scraped vertically;Vertical;24;5;Auger new;5;Knive sharp;No hay;Good position;Begin mix;6;Mix after last (5-9 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 63;4;Good conservation;No spoilage;4;Scraped vertically;Vertical;26;4;Auger new;4;Knive sharp;No hay;Good position;Begin mix;13;Mix after last (>9 min);Liquid;Overfilled;Slow (10-19);Slow (<20 rpm);3;Little movement;Remnant mixer
Herd 64;5;Good conservation;No spoilage;2;Not scraped;Vertical;22;4;Auger new;3;Knive worn;No hay;Bad position;Begin mix;1;Mix after last (<5 min);No liquid;Overfilled;Fast (20-30);Fast (>20 rpm);3;Little movement;Remnant mixer
Herd 65;4;Good conservation;No spoilage;4;Scraped vertically;Horizontal;12;3;Auger worn;2;Knive worn;Hay;Good position;Begin mix;18;Mix after last (>9 min);No liquid;Full;Slow (10-19);Slow (<20 rpm);4;Movement;Empty mixer
Herd 66;3;Bad conservation;Yes spoilage;4;Scraped vertically;Vertical;16;5;Auger new;4;Knive sharp;No hay;Good position;Begin mix;7;Mix after last (5-9 min);No liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 67;4;Good conservation;Yes spoilage;2;Not scraped;Vertical;17;3;Auger worn;1;Knive worn;Hay;Good position;Begin mix;11;Mix after last (>9 min);Liquid;Overfilled;Slow (10-19);Slow (<20 rpm);3;Little movement;Empty mixer
Herd 68;5;Good conservation;No spoilage;5;Scraped vertically;Vertical;18;4;Auger new;4;Knive sharp;Hay;Good position;Begin mix;6;Mix after last (5-9 min);No liquid;Overfilled;Very fast (>30);Fast (>20 rpm);3;Little movement;Remnant mixer
Herd 69;4;Good conservation;Yes spoilage;1;Not scraped;Vertical;18;4;Auger new;2;Knive worn;No hay;Bad position;Begin mix;7;Mix after last (5-9 min);Liquid;Full;Very fast (>30);Fast (>20 rpm);4;Movement;Empty mixer
Herd 70;4;Good conservation;Yes spoilage;3;Not scraped;Vertical;24;4;Auger new;4;Knive sharp;Hay;Good position;Begin mix;12;Mix after last (>9 min);Liquid;Full;Fast (20-30);Fast (>20 rpm);4;Movement;Remnant mixer
Herd 71;2;Bad conservation;Yes spoilage;2;Not scraped;Horizontal;28;NA;NA;4;Knive sharp;Hay;Good position;Begin mix;3;Mix after last (<5 min);No liquid;Full;Very slow (<10);Slow (<20 rpm);4;Movement;Empty mixer
